"source","target","sign","weight","equation","edge_mode","inertia","target_class","causal_mechanism","evidence_source","evidence_strength","bidirectional_pair_id","status","review_notes"
"laborPolicy.youthJobs","unemployment_rate","negative","-0.50","","","2","fast","Targeted youth hiring programs can lower overall unemployment pressure.","Active labor market policy evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"rentBurden","happiness","negative","-0.45","","","2","fast","Housing cost stress lowers household wellbeing and satisfaction.","Housing cost burden wellbeing evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"youthIndependence","happiness","positive","0.25","","","3","fast","Greater independent living among youth is associated with higher wellbeing.","Youth transition wellbeing studies","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"health","happiness","positive","0.30","","","3","fast","Better health status increases quality of life and happiness.","Health-wellbeing empirical evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"education","happiness","positive","0.20","","","4","medium","Higher education outcomes correlate with better life opportunities and wellbeing.","Education and wellbeing evidence","medium","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"safety","happiness","positive","0.25","","","2","fast","Safer communities improve perceived quality of life and happiness.","Public safety wellbeing evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"unemployment_rate","gdp","negative","-0.20","","","2","fast","Higher unemployment reflects underused labor and lower output potential.","Okun relationship evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"unemployment_rate","happiness","negative","-0.50","","","3","fast","Joblessness reduces income security and psychological wellbeing.","Unemployment wellbeing literature","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"inflation_consumer_prices","happiness","negative","-0.30","","","3","fast","Higher inflation erodes real incomes and reduces household wellbeing.","Cost-of-living wellbeing evidence","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"public_expenditure_on_health","budget.expenditure","positive","0.35","0.35*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"public_expenditure_on_education","budget.expenditure","positive","0.27","0.27*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"welfareSpending","budget.expenditure","positive","0.21","0.21*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"transportSpending","budget.expenditure","positive","0.16","0.16*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"digitalInfrastructure","budget.expenditure","positive","0.14","0.14*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"policeSpending","budget.expenditure","positive","0.15","0.15*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"justiceSpending","budget.expenditure","positive","0.13","0.13*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"greenEnergy","budget.expenditure","positive","0.12","0.12*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"housingPolicy.maisHabitacao","budget.expenditure","positive","0.16","0.16*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"housingPolicy.goldenVisa","budget.expenditure","positive","0.09","0.09*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"housingPolicy.alTaxes","budget.expenditure","positive","0.08","0.08*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"housingPolicy.rentControl","budget.expenditure","positive","0.11","0.11*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"nominal_minimum_wage","budget.expenditure","positive","0.14","0.14*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"laborPolicy.youthJobs","budget.expenditure","positive","0.14","0.14*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"taxPolicy.nhrRegime","budget.expenditure","positive","0.08","0.08*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"taxPolicy.wealthTax","budget.expenditure","positive","0.08","0.08*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"military_expenditure","budget.expenditure","positive","0.16","0.16*x","accounting_trace","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"incomeTax","tax_revenue","positive","0.35","0.35*x","accounting_trace","2","fast","Tax policy settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"corporateTax","tax_revenue","positive","0.21","0.21*x","accounting_trace","2","fast","Tax policy settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"vat","tax_revenue","positive","0.24","0.24*x","accounting_trace","2","fast","Tax policy settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"carbonTax","tax_revenue","positive","0.1","0.1*x","accounting_trace","2","fast","Tax policy settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"housingPolicy.alTaxes","tax_revenue","positive","0.09","0.09*x","accounting_trace","2","fast","Tax policy settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"taxPolicy.nhrRegime","tax_revenue","positive","0.08","0.08*x","accounting_trace","2","fast","Tax policy settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"taxPolicy.wealthTax","tax_revenue","positive","0.08","0.08*x","accounting_trace","2","fast","Tax policy settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"tsu_total_rate","tax_revenue","positive","0.30","0.3*x","accounting_trace","2","fast","Payroll social contribution settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"isp_fuel_tax","tax_revenue","positive","0.12","0.12*x","accounting_trace","2","fast","Fuel excise tax settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"imi_average_rate","tax_revenue","positive","0.09","0.09*x","accounting_trace","2","fast","Municipal property tax settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"imt_effective_rate","tax_revenue","positive","0.09","0.09*x","accounting_trace","2","fast","Property transfer tax settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"stamp_duty_index","tax_revenue","positive","0.10","0.1*x","accounting_trace","2","fast","Stamp duty settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"vehicle_tax_index","tax_revenue","positive","0.08","0.08*x","accounting_trace","2","fast","Vehicle tax settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"sin_tax_index","tax_revenue","positive","0.10","0.1*x","accounting_trace","2","fast","Excise tax settings influence aggregate tax revenue channel.","Policy fiscal coefficients from policies.csv","high","","approved","tax_chain_required_edge_auto"
"housingPolicy.goldenVisa","budget.income","positive","0.08","0.08*x","accounting_trace","2","fast","Golden visa program intensity increases non-tax public receipts through application and processing revenues.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_non_tax_edge_auto"
"soe_dividend_rate","budget.income","positive","0.08","0.08*x","accounting_trace","2","fast","Higher SOE dividend transfer rate increases non-tax income flowing into the annual budget.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_non_tax_edge_auto"
"tax_revenue","budget.income","positive","0.95","0.95*x","accounting_trace","2","fast","Higher tax revenue increases total budget income.","Budget accounting identity","high","","approved","tax_chain_required_edge_identity"
"budget.income","budget.deficit","negative","-0.95","-0.95*x","accounting_trace","2","fast","Higher income reduces the deficit by accounting identity (deficit = expenditure - income).","Budget accounting identity","high","","approved","budget_accounting_required_edge_identity"
"budget.expenditure","budget.deficit","positive","0.95","0.95*x","accounting_trace","2","fast","Higher expenditure increases the deficit by accounting identity (deficit = expenditure - income).","Budget accounting identity","high","","approved","budget_accounting_required_edge_identity"
"budget.deficit","budget.debt","positive","0.95","0.95*x","accounting_trace","2","fast","Higher deficit increases debt through period accumulation.","Public finance stock-flow identity","high","","approved","budget_accounting_required_edge_identity"
"budget.expenditure","gdp","positive","0.2","0.2*x","behavioral_contribution","2","fast","Public expenditure contributes directly to aggregate demand and output.","Fiscal multiplier literature","high","","approved","budget_macro_channel_replace_govspending"
"budget.debt","debt_to_gdp","positive","0.95","0.95*x","accounting_trace","2","fast","Higher debt stock raises debt-to-GDP ratio by identity.","Debt ratio identity","high","","approved","debt_ratio_identity_chain"
"gdp","debt_to_gdp","negative","-0.95","-0.95*x","accounting_trace","2","fast","Higher GDP lowers debt-to-GDP ratio holding debt stock constant.","Debt ratio identity","high","","approved","debt_ratio_identity_chain"
"incomeTax","real_household_disposable_income","negative","-0.28","-0.28*x","behavioral_contribution","2","fast","Higher income tax reduces take-home pay and real disposable household income.","OECD household taxation and disposable income evidence","high","","approved","mechanistic_income_mediator_2026_03_08"
"welfareSpending","real_household_disposable_income","positive","0.24","0.24*x","behavioral_contribution","2","fast","Transfers increase household net resources and support real disposable income.","Fiscal transfer and household income literature","high","","approved","mechanistic_income_mediator_2026_03_08"
"rentBurden","real_household_disposable_income","negative","-0.26","-0.26*x","behavioral_contribution","2","fast","Higher housing-cost burden leaves less income available for non-housing uses.","Household budget share and cost-burden evidence","high","","approved","mechanistic_income_mediator_2026_03_08"
"inflation_consumer_prices","real_household_disposable_income","negative","-0.20","-0.2*x","behavioral_contribution","2","fast","Higher consumer-price inflation lowers real purchasing power and real disposable income.","Real income accounting and inflation pass-through evidence","high","","approved","mechanistic_income_mediator_2026_03_08"
"real_household_disposable_income","consumption","positive","0.46","0.46*x","behavioral_contribution","2","fast","Higher real disposable household income increases private consumption demand.","Household consumption function evidence","high","","approved","mechanistic_income_mediator_2026_03_08"
